                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.5796,                0.98921,                 0.2877,                0.95882,                 1.6214,                0.85674,                0.97222,                0.97924,                0.59921,                0.85674,                0.97222,                0.97924,                0.79152,                 1.2798,                0.51464,                0.03468,                 1.0046,                 1.6234,               0.001901,               0.001901,               0.001901
                     33,                 1.5095,                0.98013,                0.29726,                 1.0199,                 1.5266,                0.83628,                      1,                0.97718,                0.58348,                0.83628,                      1,                0.97718,                  0.754,                 1.2432,                0.57912,                0.03382,                 1.2912,                 1.6112,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.4692,                0.92186,                 0.2829,                 1.0579,                 1.5065,                0.78848,                      1,                0.90431,                0.51883,                0.79952,                0.99709,                0.91465,                0.71807,                  1.167,                0.57285,                0.03444,                 1.4001,                 1.5556,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.4302,                0.87975,                0.27976,                0.99134,                 1.4682,                0.80976,                      1,                0.92433,                0.56296,                0.81667,                      1,                0.93502,                0.74441,                 1.2509,                0.42702,                 0.0381,                 1.0614,                 1.5766,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.3972,                0.84482,                 0.2388,                0.92706,                 1.4462,                0.89007,                0.97222,                0.96823,                0.56273,                0.83457,                0.98106,                0.96932,                0.77943,                 1.4054,                0.46787,                0.03196,                 1.1853,                 1.7172,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.4433,                0.94168,                 0.2447,                0.91323,                 1.4351,                0.70498,                0.99575,                0.84799,                 0.4917,                0.70477,                0.99475,                0.88365,                0.68713,                 1.3368,                0.54087,                0.02837,                 1.1945,                 1.6654,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.4512,                0.80651,                0.22706,                0.92194,                 1.4831,                0.59039,                0.92091,                0.74933,                0.41998,                 0.6082,                0.94869,                0.79399,                0.61641,                 1.2646,                0.49615,                0.04171,                 1.8527,                  1.577,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.4725,                0.96168,                0.22165,                0.95142,                 1.5574,                0.93958,                      1,                0.99365,                0.57726,                0.93958,                      1,                0.99365,                 0.7903,                 1.1999,                0.45669,                0.02816,                 1.3458,                  1.552,              0.0018779,              0.0018779,              0.0018779
                     40,                 1.4593,                0.92906,                0.26585,                0.95882,                 1.5535,                0.95693,                0.97222,                0.95598,                0.55168,                0.98519,                      1,                  0.995,                0.73975,                 1.3392,                0.84895,                0.02715,                 1.1867,                  1.616,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.4729,                0.95552,                0.25035,                 1.0213,                 1.5197,                0.87136,                0.97222,                0.96213,                0.57627,                0.89744,                      1,                0.98034,                0.75732,                 1.2651,                0.54371,                0.04413,                 1.4703,                 1.5832,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.3431,                0.74753,                0.19582,                0.94493,                 1.4328,                0.96891,                0.97222,                0.97997,                0.56095,                0.99706,                      1,                  0.995,                0.79062,                  1.158,                0.47509,                0.03413,                0.99089,                 1.4941,               0.001868,               0.001868,               0.001868
                     43,                 1.3806,                0.78499,                0.23597,                0.99166,                 1.4653,                0.89292,                0.97222,                0.97035,                0.55178,                0.91943,                      1,                0.98816,                0.79154,                 1.2975,                0.53415,                0.03136,                0.91829,                 1.5707,              0.0018647,              0.0018647,              0.0018647
